REGIONAL;GERENTE;GRUPO ECONOMICO;NOME SIGA;Inscritos ENEM 25.1;Inscritos Total CPF Único;Inscritos EX ENEM;Adiantamento da VCP - Nov;Adiantamento da VCP - Jan;TOP 25;Possui time comercial;Quantidade time comercial;% do CE nas matrículas do Polo;Aportes;Expectativa Matricula Enem;META 100% ONLINE;REAL 25.1;% META;META HIBRIDO;REAL 25.1;% META;META PRESENCIAL;REAL 25.1;% META;META HIBRIDO LAB;REAL 25.1;% META;META TOTAL;REAL 25.1;% META
SUDESTE;SILVIA CUNHA;GE20-ANTONIO CARLOS DANTAS;[ANHANGUERA/UNOPAR] - ARMACAO DOS BUZIOS/RJ - I(14702545);141;201;60;SIM; NÃO;SIM;NÃO;0;0%;0;0;85;22;26%;0;0;0%;0;0;0%;6;0;0%;91;23;25%
SUDESTE;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - ARRAIAL DO CABO/RJ - I(14702553);0;4;4;NÃO; NÃO;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
SUL;TBD;GE6-THOMAS BESSA;[ANHANGUERA/UNOPAR] - ARROIO GRANDE/RS - I(12652992);11;71;60;SIM; NÃO;NÃO;NÃO;0;0%;0;186;50;27;54%;0;0;0%;0;0;0%;4;0;0%;54;27;50%
SUL;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - ASSAI/PR - I(6956);0;3;3;NÃO; NÃO;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
SUL;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - ASSIS CHATEAUBRIAND/PR - I(11629598);0;0;0;NÃO; NÃO;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
SP INTERIOR;JULIANE ABADE;GI-BRAZ ARRUDA CAMARGO JUNIOR;[ANHANGUERA/UNOPAR] - AVARE/SP - I(3719);6;167;161;SIM; NÃO;NÃO;SIM;1;0%;0;0;92;45;49%;1;1;90%;0;0;0%;6;2;32%;99;48;48%
CENTRO OESTE/NORTE;BERLITO FERREIRA;GE2-DACIVALDO JOSE CONCEICAO MEIRELES;[ANHANGUERA/UNOPAR] - BAIAO/PA - I(14628832);314;355;41;SIM; NÃO;NÃO;SIM;8;40%;0;4;93;26;28%;28;16;57%;0;0;0%;124;73;59%;245;115;47%
SUL;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - BALNEARIO ARROIO DO SILVA/SC - I(14908189);0;2;2;NÃO; NÃO;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
SUL;ANTONIO FERNANDES;GE4-VITORIA CAPRARO;[ANHANGUERA/UNOPAR] - BALNEARIO PICARRAS/SC - I(13840682);1;111;110;SIM; NÃO;NÃO;SIM;5;0%;0;268;61;23;38%;1;1;86%;0;0;0%;117;17;15%;179;41;23%
CENTRO OESTE/NORTE;BERLITO FERREIRA;GE5-MARCOS ANTONIO DE ARAUJO;[ANHANGUERA/UNOPAR] - BALSAS/MA - I(11088889);1173;2402;1229;SIM; NÃO;SIM;SIM;8;1%;1;149;482;216;45%;339;220;65%;0;0;0%;919;592;64%;1740;1028;59%
SUDESTE;SILVIA CUNHA;GI-WELINTON CARDOSO DE ALMEIDA;[ANHANGUERA/UNOPAR] - BARRA DE SAO FRANCISCO/ES - I(1051527);0;288;288;SIM; SIM;NÃO;SIM;3;0%;0;0;126;46;37%;54;45;83%;0;0;0%;205;101;49%;385;192;50%
CENTRO OESTE/NORTE;GLAUCIA RIBEIRO;GE6-HORUS;[ANHANGUERA/UNOPAR] - BARRA DO BUGRES/MT - I(1059557);411;634;223;SIM; NÃO;NÃO;SIM;2;2%;1;6;292;118;40%;73;34;46%;0;0;0%;116;91;78%;481;243;50%
NORDESTE;RODRIGO BONFIM;GE3-THELMA MARIA SANTANA ARAUJO PASSOS;[ANHANGUERA/UNOPAR] - BARRA DO CHOCA/BA - I(14556604);101;128;27;SIM; NÃO;NÃO;SIM;2;0%;0;0;52;28;54%;0;0;0%;0;0;0%;5;0;0%;57;28;49%
CENTRO OESTE/NORTE;GLAUCIA RIBEIRO;GE2-MARCELI FERNANDA CARELLI;[ANHANGUERA/UNOPAR] - BARRA DO GARCAS/MT - I(3720);106;424;318;SIM; NÃO;NÃO;SIM;1;45%;1;12;237;109;46%;1;12;1081%;0;0;0%;113;70;62%;351;191;54%
NORDESTE;MARCOS SANTOS;GE7-ELIZABETE MENDONCA / IDAMIS SOUSA;[ANHANGUERA/UNOPAR] - BARRA/BA - I(4037);211;263;52;SIM; NÃO;NÃO;SIM;11;0%;0;0;47;23;49%;18;8;44%;0;0;0%;9;5;58%;73;36;49%
NORDESTE;RODRIGO BONFIM;GE3-MARIA DOLORES FRANCO AMORIM;[ANHANGUERA/UNOPAR] - BARRAS/PI - I(11346044);607;571;-36;SIM; NÃO;NÃO;SIM;2;0%;0;3;43;44;102%;12;0;0%;0;0;0%;99;4;4%;154;48;31%
